seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,1,240,24,4974.250476586029,3312.7421833333333,1072.158293252696,589.35,6449,7
-5541464229484342020,1,240,24,6273.912666187398,4513.016383333334,1067.612949520732,693.2833333333333,6342,12
5203306459365885672,1,240,24,5965.862871703133,4212.688083333333,1038.0581217031327,715.1166666666667,6543,9
7642908639498411342,1,240,24,5375.038064883579,3650.8946,1098.8767982169127,625.2666666666667,6287,4
-2451299337107840008,1,240,24,4111.222524935271,2550.5046,1093.1012582686049,467.6166666666667,6110,4
5928283818417923153,1,240,24,5297.786079039165,3558.52425,1096.3284957058315,642.9333333333333,2683,5
2461734090402507026,1,240,24,6002.473745574742,4132.4657,1174.908045574742,695.1,2832,6
2134024673109844781,1,240,24,4971.100022253807,3319.8424833333333,1074.1408722538067,577.1166666666667,2348,5
-8961300118901020200,1,240,24,8059.732394108226,6202.545833333334,1086.703227441559,770.4833333333333,3092,10
8075292919129901534,1,240,24,5641.189213306319,3825.0052333333333,1194.0673133063196,622.1166666666667,2354,4
-8261313408374103090,1,240,24,3711.0548642897984,2145.45795,1120.3969142897984,445.2,2118,4
7674419966232165276,1,240,24,5611.63473916188,3752.8223166666667,1172.77908916188,686.0333333333333,2228,8
7109546606045534716,1,240,24,5232.474675065289,3479.7112666666667,1160.463408398622,592.3,3191,6
6556361022965809331,1,240,24,5066.964031876651,3317.2776833333332,1179.2196818766497,570.4666666666667,2333,4
-8727434480880003295,1,240,24,4559.092421912708,3041.8948833333334,990.3808719127079,526.8166666666667,2560,6
316214762330218711,1,240,24,4188.960717805346,2517.8087333333333,1123.1353178053457,548.0166666666667,1887,6
511168606054560241,1,240,24,5680.284014842313,4007.2144166666667,1058.7362648423132,614.3333333333334,1889,7
-6944560613166325532,1,240,24,4629.451317664626,3016.1593166666667,1072.2253343312925,541.0666666666667,2169,7
8502646895184153456,1,240,24,5084.375390886057,3408.0092833333333,1076.6661075527245,599.7,2365,7
-6150989588647184654,1,240,24,6869.5976662902285,5146.8523,1056.5953662902293,666.15,2064,8
6940304193960507239,1,240,24,5737.33737179968,4075.0933333333332,977.2440384663465,685.0,2028,10
8994497875694156924,1,240,24,5219.489465630717,3426.2117,1160.1610989640508,633.1166666666667,2107,6
-2003976480001387728,1,240,24,5499.339007396286,3763.222366666667,1102.9833073962864,633.1333333333333,2687,7
-2327051053310206553,1,240,24,5535.227019058651,3760.3016666666667,1168.6253523919845,606.3,1923,5
647836301658713295,1,240,24,5973.371026669109,4228.390933333333,1034.246760002442,710.7333333333333,2070,6
-71164265115712545,1,240,24,8510.733545752006,6531.6202,1108.2133457520056,870.9,2473,8
-481587656727886274,1,240,24,5429.222673951167,3747.3836,1064.589073951167,617.25,1794,8
-4655524451843305732,1,240,24,5837.66428288088,4080.6934833333335,1070.8207995475473,686.15,1628,9
-1727967857368879678,1,240,24,6300.604919107635,4554.707533333333,1075.3307191076356,670.5666666666667,1664,6
5771633175417198029,1,240,24,5545.344128898954,3753.197383333333,1154.4967455656213,637.65,1402,6
5563.159711317255std=1002.8254287750972
