seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,2,240,24,931.874598963044,356.72911666666664,447.9954822963774,127.15,176017,0
-5541464229484342020,2,240,24,1016.9448008610177,405.37108333333333,466.5737175276843,145.0,175759,0
5203306459365885672,2,240,24,892.537064224261,311.934,465.103064224261,115.5,177726,0
7642908639498411342,2,240,24,979.9221549220588,383.1917666666667,470.23038825539203,126.5,175716,0
-2451299337107840008,2,240,24,949.4454078588378,360.29245,462.9029578588379,126.25,174072,0
5928283818417923153,2,240,24,955.9210591274536,350.71003333333334,479.177692460787,126.03333333333333,173565,0
2461734090402507026,2,240,24,891.2017525638279,316.73443333333336,455.05065256382784,119.41666666666667,174036,0
2134024673109844781,2,240,24,925.9292824263773,326.3355,484.7271157597106,114.86666666666666,172874,0
-8961300118901020200,2,240,24,891.4898015902995,314.4787166666667,466.52775159029954,110.48333333333333,167314,0
8075292919129901534,2,240,24,954.9460159948516,364.9045,460.6748493281849,129.36666666666667,174594,0
-8261313408374103090,2,240,24,926.705620922617,327.8378833333333,472.7010709226171,126.16666666666667,168434,0
7674419966232165276,2,240,24,819.7939706357017,259.48135,463.7792873023684,96.53333333333333,173802,0
7109546606045534716,2,240,24,872.0664170535434,291.2594833333333,466.1569337202102,114.65,174182,0
6556361022965809331,2,240,24,1034.6767513879815,389.7182833333333,486.9584680546483,158.0,172352,0
-8727434480880003295,2,240,24,964.8130352927035,363.73035,470.58268529270356,130.5,170879,0
316214762330218711,2,240,24,947.4560894278561,347.615,485.90775609452265,113.93333333333334,172470,0
511168606054560241,2,240,24,996.9842304364894,391.5205833333333,462.09698043648945,143.36666666666667,173787,0
-6944560613166325532,2,240,24,974.3454920241022,369.60636666666664,466.2891253574356,138.45,172263,0
8502646895184153456,2,240,24,1009.9808981934997,384.76505,482.11584819349974,143.1,174822,0
-6150989588647184654,2,240,24,755.6410116660671,220.11586666666668,446.5584783327337,88.96666666666667,174708,0
6940304193960507239,2,240,24,822.5702919357865,259.97228333333334,459.68134193578646,102.91666666666667,176164,0
8994497875694156924,2,240,24,922.9763539335974,305.41678333333334,489.47623726693064,128.08333333333334,174560,0
-2003976480001387728,2,240,24,996.7624218058255,402.18121666666667,455.36453847249214,139.21666666666667,173284,0
-2327051053310206553,2,240,24,908.0305465802207,327.36533333333335,462.63187991355414,118.03333333333333,170548,0
647836301658713295,2,240,24,996.6382189077942,373.3263666666667,467.9118522411276,155.4,170611,0
-71164265115712545,2,240,24,846.3378562196497,289.7679166666667,445.5366062196496,111.03333333333333,173224,0
-481587656727886274,2,240,24,1015.0422577026367,393.07695,471.59864103596993,150.36666666666667,169702,0
-4655524451843305732,2,240,24,870.974105353246,332.03675,433.2040220199127,105.73333333333333,171230,0
-1727967857368879678,2,240,24,946.5465887000271,356.5932833333333,457.7533053666937,132.2,169889,0
5771633175417198029,2,240,24,896.6212658273437,326.8182,445.03639916067704,124.76666666666667,168895,0
930.5058454179574 66.29102895260576 755.6410116660671 891.4177893336816 939.2105938315356 984.1011709184927 1034.6767513879815 996.7968743705632
