seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,1,240,24,1192.6689195504498,508.3215666666667,534.3806862171164,149.96666666666667,7664,0
-5541464229484342020,1,240,24,1153.354288689622,475.72628333333336,527.3280053562887,150.3,7238,0
5203306459365885672,1,240,24,1235.7065694298133,531.2662666666666,531.5236360964798,172.91666666666666,7863,0
7642908639498411342,1,240,24,1291.9552600390307,569.2282333333334,548.5770267056973,174.15,8241,0
-2451299337107840008,1,240,24,1211.757142781324,531.3572833333334,522.6998594479907,157.7,8314,0
5928283818417923153,1,240,24,1149.4533229344793,467.4076166666667,534.179039601146,147.86666666666667,8024,0
2461734090402507026,1,240,24,1081.3067521769703,414.0609666666667,525.8457855103036,141.4,7698,0
2134024673109844781,1,240,24,1191.6968407966697,488.03368333333333,532.729824130003,170.93333333333334,8042,0
-8961300118901020200,1,240,24,1298.5730631173062,542.38815,586.6349131173064,169.55,8442,0
8075292919129901534,1,240,24,1197.1819427458217,538.3838666666667,511.49807607915517,147.3,8236,0
-8261313408374103090,1,240,24,1081.8182109813788,397.1863333333333,549.9485443147121,134.68333333333334,7017,0
7674419966232165276,1,240,24,1235.593757346781,507.0099,553.7838573467811,174.8,7937,0
7109546606045534716,1,240,24,1130.7522644462865,442.42226666666664,532.1633311129531,156.16666666666666,7468,0
6556361022965809331,1,240,24,1267.6150879329252,579.43625,512.9455045995919,175.23333333333332,7155,0
-8727434480880003295,1,240,24,1117.5037249249215,439.24133333333333,540.9790582582549,137.28333333333333,7047,0
316214762330218711,1,240,24,1482.0660879985169,693.82175,573.7943379985169,214.45,8761,0
511168606054560241,1,240,24,1165.5905885996956,499.38913333333335,509.51812193302885,156.68333333333334,7326,0
-6944560613166325532,1,240,24,1142.0636119636436,456.04973333333334,529.1638786303104,156.85,7443,0
8502646895184153456,1,240,24,1271.554111825346,576.6860166666667,542.5847618253458,152.28333333333333,7839,0
-6150989588647184654,1,240,24,1314.5645251490146,631.3606666666667,520.0371918156811,163.16666666666666,7251,0
6940304193960507239,1,240,24,1265.1850488830084,558.5863166666667,533.682065549675,172.91666666666666,8426,0
8994497875694156924,1,240,24,1310.38763588315,581.31445,561.7731858831502,167.3,7385,0
-2003976480001387728,1,240,24,1089.4964967672363,419.89051666666666,522.2559801005697,147.35,7420,0
-2327051053310206553,1,240,24,1229.7546644959948,524.0237333333333,546.4809311626615,159.25,7920,0
647836301658713295,1,240,24,1214.1872738972322,527.7045166666667,519.6827572305657,166.8,7791,0
-71164265115712545,1,240,24,1145.4181825188116,459.37986666666666,544.4716491854782,141.56666666666666,7354,0
-481587656727886274,1,240,24,1096.5137276739304,455.5592833333333,489.27111100726376,151.68333333333334,7014,0
-4655524451843305732,1,240,24,1047.2868659758801,386.54215,534.3947159758802,126.35,6982,0
-1727967857368879678,1,240,24,1286.5399798783583,576.49675,532.6598965450248,177.38333333333333,8038,0
5771633175417198029,1,240,24,1222.2282341682267,541.18715,502.62441750155995,178.41666666666666,7397,0
782583506969552992,2,240,24,1820.425672741706,913.4966666666667,647.2123394083725,259.71666666666664,9948,0
