seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,1,240,24,2715.2467904373407,1872.95135,475.9121071040076,366.3833333333333,10776,4
-5541464229484342020,1,240,24,3234.3370360670388,2343.3951666666667,467.9085360670388,423.03333333333336,11108,9
5203306459365885672,1,240,24,3804.972542755559,2860.0919833333332,491.413892755559,453.46666666666664,11920,6
7642908639498411342,1,240,24,5429.772779360463,4274.5496,490.93984602712897,664.2833333333333,11209,14
-2451299337107840008,1,240,24,3330.998152318236,2415.84095,469.2572023182361,445.9,11289,6
5928283818417923153,1,240,24,3359.7450609256216,2439.648833333333,490.19622759228827,429.9,10946,7
2461734090402507026,1,240,24,3033.053089014833,2160.1398,479.3466223481662,393.56666666666666,10787,6
2134024673109844781,1,240,24,1381.4245307481383,692.9496166666667,486.99158074813835,201.48333333333332,10603,4
-8961300118901020200,1,240,24,1714.8503182703594,954.7511,512.715884937026,247.38333333333333,10735,4
8075292919129901534,1,240,24,4923.613159703656,3847.1549333333332,462.40822637032255,614.05,11527,11
-8261313408374103090,1,240,24,5126.002336359059,4032.0331666666666,517.2691696923923,576.7,5838,9
7674419966232165276,1,240,24,3451.2151664098465,2581.2357,468.0794664098463,401.9,5809,7
7109546606045534716,1,240,24,2288.5630655981813,1468.1295,466.4335655981815,354.0,5762,5
6556361022965809331,1,240,24,3063.602388513108,2194.99545,489.3069385131078,379.3,5849,5
-8727434480880003295,1,240,24,3560.475109316728,2567.53355,500.3082259833946,492.6333333333333,5846,10
316214762330218711,1,240,24,3116.952225552924,2194.8699166666665,458.28230888625734,463.8,5618,7
511168606054560241,1,240,24,2727.3520761864975,1907.6419333333333,473.1601428531642,346.55,5802,6
-6944560613166325532,1,240,24,4985.3488340708245,3810.7033333333334,536.6121674041581,638.0333333333333,6006,11
8502646895184153456,1,240,24,4028.3139652463374,3044.107916666667,465.0560485796705,519.15,5808,7
-6150989588647184654,1,240,24,1956.369555886662,1222.0269833333334,492.74257255332884,241.6,5672,4
6940304193960507239,1,240,24,3390.977757825554,2491.54655,463.5645411588869,435.8666666666667,5165,7
8994497875694156924,1,240,24,4388.0645376576795,3402.51345,489.10108765767956,496.45,5730,6
-2003976480001387728,1,240,24,1764.8938257107543,1058.4929666666667,454.08419237742106,252.31666666666666,5027,5
-2327051053310206553,1,240,24,2295.4006192757906,1464.53725,503.98003594245745,326.8833333333333,5412,6
647836301658713295,1,240,24,4306.739927312591,3327.7451666666666,469.59476064592457,509.4,4959,8
-71164265115712545,1,240,24,3891.903376025616,2876.66765,485.5857260256163,529.65,5479,8
-481587656727886274,1,240,24,2592.308528195785,1684.0869666666667,496.5048948624516,411.71666666666664,5477,5
-4655524451843305732,1,240,24,2777.331638099453,1932.4538833333334,485.8110880994531,359.06666666666666,5472,5
-1727967857368879678,1,240,24,3907.0306696932244,2908.2351166666667,491.462219693224,507.3333333333333,5325,9
